"Office Location","Activity Type","Site Name","Pollution Level Detected"
Canberra,"Air Quality Check","Heaton State Forest",306.86
"Gold Coast","Soil Quality Test","Redhead Beach",306.82
Hobart,"Air Quality Check","Blackbutt Nature Reserve",306.81
Hobart,"Soil Quality Test","Waratah Park",306.79
"Gold Coast","Air Quality Check","Lambton Park",306.79
Perth,"Noise Level Measurement","Charlestown Park",306.77
Adelaide,"Air Quality Check","Mount Sugarloaf",306.74
Canberra,"Soil Quality Test","Waratah Park",306.74
Sydney,"Soil Quality Test","Braye Park",306.65
"Gold Coast","Soil Quality Test","Redhead Beach",306.6
Sydney,"Noise Level Measurement","Mount Sugarloaf",306.34
Perth,"Air Quality Check","Watagan Mountains",306.33
Adelaide,"Air Quality Check","Belmont Wetlands State Park",306.21
Melbourne,"Soil Quality Test","Warners Bay Foreshore",306.18
Adelaide,"Noise Level Measurement","King Edward Park",306.15
Newcastle,"Noise Level Measurement","Awaba State Forest",306.12
Brisbane,"Noise Level Measurement","Merewether Beach",306.08
Sydney,"Noise Level Measurement","Braye Park",306.03
Brisbane,"Water Quality Test","Awaba State Forest",306.01
"Gold Coast","Soil Quality Test","Speers Point Park",305.97
Darwin,"Air Quality Check","Awaba State Forest",305.89
Adelaide,"Air Quality Check","Lambton Park",305.74
Darwin,"Water Quality Test","Lambton Park",305.74
Newcastle,"Water Quality Test","Blackbutt Nature Reserve",305.72
Sydney,"Air Quality Check","Merewether Beach",305.71
Perth,"Noise Level Measurement","Croudace Bay Park",305.71
Adelaide,"Soil Quality Test","Mount Sugarloaf",305.42
Perth,"Air Quality Check","Newcastle Beach",305.39
Newcastle,"Air Quality Check","Richley Reserve",305.25
Darwin,"Water Quality Test","Redhead Beach",305.21
Adelaide,"Water Quality Test","Blackbutt Nature Reserve",305.2
"Gold Coast","Air Quality Check","Belmont Wetlands State Park",305.16
Perth,"Water Quality Test","Richley Reserve",305.14
Newcastle,"Noise Level Measurement","Jesmond Park",305.13
Adelaide,"Soil Quality Test","Redhead Beach",305.05
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",305.05
Canberra,"Water Quality Test","Richley Reserve",305.04
Melbourne,"Air Quality Check","Warners Bay Foreshore",305.02
Adelaide,"Water Quality Test","Speers Point Park",305
Brisbane,"Noise Level Measurement","Mount Sugarloaf",304.98
Newcastle,"Soil Quality Test","Jesmond Park",304.89
"Gold Coast","Soil Quality Test","Braye Park",304.86
"Gold Coast","Air Quality Check","Toronto Foreshore",304.86
Darwin,"Noise Level Measurement","Newcastle Beach",304.84
Adelaide,"Water Quality Test","Mount Sugarloaf",304.8
Brisbane,"Air Quality Check","Hunter Wetlands Centre",304.68
Darwin,"Air Quality Check","Hunter Wetlands Centre",304.67
Brisbane,"Noise Level Measurement","Warners Bay Foreshore",304.63
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",304.62
Darwin,"Soil Quality Test","Belmont Wetlands State Park",304.59
Darwin,"Soil Quality Test","Belmont Wetlands State Park",304.55
"Gold Coast","Noise Level Measurement","King Edward Park",304.49
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",304.47
Adelaide,"Water Quality Test","King Edward Park",304.46
Darwin,"Soil Quality Test","Merewether Beach",304.45
Perth,"Noise Level Measurement","Richley Reserve",304.44
Canberra,"Air Quality Check","Newcastle Beach",304.37
Sydney,"Water Quality Test","Mount Sugarloaf",304.36
Sydney,"Air Quality Check","Hunter Wetlands Centre",304.35
Brisbane,"Water Quality Test","King Edward Park",304.28
Darwin,"Air Quality Check","King Edward Park",304.28
Adelaide,"Soil Quality Test","Heaton State Forest",304.27
Hobart,"Noise Level Measurement","Glenrock State Conservation Area",304.26
Darwin,"Soil Quality Test","Hunter Wetlands Centre",304.26
Adelaide,"Air Quality Check","Braye Park",304.26
Canberra,"Water Quality Test","Braye Park",304.2
Hobart,"Soil Quality Test","Warners Bay Foreshore",304.18
Adelaide,"Noise Level Measurement","Lambton Park",304.18
Canberra,"Noise Level Measurement","Watagan Mountains",304.17
Adelaide,"Air Quality Check","Speers Point Park",304.16
Sydney,"Noise Level Measurement","Speers Point Park",304.13
Adelaide,"Noise Level Measurement","Speers Point Park",304.04
Darwin,"Noise Level Measurement","Redhead Beach",304.02
Brisbane,"Air Quality Check","Toronto Foreshore",304.01
Hobart,"Noise Level Measurement","Jesmond Park",303.9
Adelaide,"Air Quality Check","Hunter Wetlands Centre",303.81
Melbourne,"Noise Level Measurement","Charlestown Park",303.79
Newcastle,"Soil Quality Test","Croudace Bay Park",303.78
Brisbane,"Soil Quality Test","Braye Park",303.78
Brisbane,"Soil Quality Test","Braye Park",303.67
Perth,"Soil Quality Test","Waratah Park",303.59
Darwin,"Soil Quality Test","King Edward Park",303.56
Hobart,"Soil Quality Test","Richley Reserve",303.43
Darwin,"Water Quality Test","Awaba State Forest",303.41
Newcastle,"Air Quality Check","Blackbutt Nature Reserve",303.39
Perth,"Soil Quality Test","Nobbys Beach",303.36
Darwin,"Soil Quality Test","Mount Sugarloaf",303.36
Perth,"Air Quality Check","Warners Bay Foreshore",303.35
Sydney,"Noise Level Measurement","Awaba State Forest",303.25
Newcastle,"Noise Level Measurement","Croudace Bay Park",303.19
Darwin,"Air Quality Check","Merewether Beach",303.18
Hobart,"Air Quality Check","Newcastle Beach",303.17
Canberra,"Air Quality Check","Heaton State Forest",303.14
Adelaide,"Water Quality Test","King Edward Park",303.02
Sydney,"Water Quality Test","Mount Sugarloaf",302.94
Hobart,"Soil Quality Test","Watagan Mountains",302.94
Adelaide,"Soil Quality Test","Mount Sugarloaf",302.9
Hobart,"Soil Quality Test","Jesmond Park",302.84
Hobart,"Water Quality Test","Charlestown Park",302.82
Brisbane,"Air Quality Check","Lambton Park",302.77
Hobart,"Noise Level Measurement","Blackbutt Nature Reserve",302.75
Hobart,"Air Quality Check","Croudace Bay Park",302.71
Brisbane,"Air Quality Check","Redhead Beach",302.65
Canberra,"Soil Quality Test","Newcastle Beach",302.63
Perth,"Noise Level Measurement","Croudace Bay Park",302.59
Perth,"Water Quality Test","Waratah Park",302.55
Newcastle,"Water Quality Test","Charlestown Park",302.54
Newcastle,"Noise Level Measurement","Charlestown Park",302.51
Brisbane,"Noise Level Measurement","King Edward Park",302.49
Newcastle,"Soil Quality Test","Nobbys Beach",302.37
Hobart,"Soil Quality Test","Newcastle Beach",302.36
Canberra,"Air Quality Check","Newcastle Beach",302.29
Adelaide,"Soil Quality Test","Redhead Beach",302.29
Darwin,"Noise Level Measurement","Warners Bay Foreshore",302.25
Hobart,"Air Quality Check","Warners Bay Foreshore",302.21
Adelaide,"Air Quality Check","Lambton Park",302.13
Adelaide,"Water Quality Test","Redhead Beach",302.13
"Gold Coast","Water Quality Test","King Edward Park",302.07
Adelaide,"Water Quality Test","Toronto Foreshore",302.06
Adelaide,"Air Quality Check","Speers Point Park",302.05
Canberra,"Air Quality Check","Croudace Bay Park",302.02
Adelaide,"Soil Quality Test","Awaba State Forest",302.02
Hobart,"Noise Level Measurement","Charlestown Park",301.97
Hobart,"Water Quality Test","Blackbutt Nature Reserve",301.94
Canberra,"Soil Quality Test","Charlestown Park",301.9
"Gold Coast","Soil Quality Test","Merewether Beach",301.85
Perth,"Noise Level Measurement","Heaton State Forest",301.83
Brisbane,"Soil Quality Test","King Edward Park",301.77
"Gold Coast","Air Quality Check","Hunter Wetlands Centre",301.74
Perth,"Air Quality Check","Heaton State Forest",301.74
Newcastle,"Water Quality Test","Glenrock State Conservation Area",301.72
"Gold Coast","Soil Quality Test","Belmont Wetlands State Park",301.69
Perth,"Air Quality Check","Watagan Mountains",301.65
Hobart,"Soil Quality Test","Nobbys Beach",301.65
Hobart,"Water Quality Test","Jesmond Park",301.62
Hobart,"Noise Level Measurement","Waratah Park",301.62
Melbourne,"Air Quality Check","Glenrock State Conservation Area",301.57
Hobart,"Noise Level Measurement","Watagan Mountains",301.57
Adelaide,"Noise Level Measurement","Toronto Foreshore",301.55
Adelaide,"Noise Level Measurement","Warners Bay Foreshore",301.51
Melbourne,"Soil Quality Test","Waratah Park",301.49
Hobart,"Water Quality Test","Waratah Park",301.48
Adelaide,"Air Quality Check","Braye Park",301.47
Hobart,"Air Quality Check","Braye Park",301.45
"Gold Coast","Noise Level Measurement","Mount Sugarloaf",301.4
Newcastle,"Air Quality Check","Watagan Mountains",301.37
Perth,"Soil Quality Test","Blackbutt Nature Reserve",301.36
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",301.32
Perth,"Air Quality Check","Newcastle Beach",301.3
Hobart,"Soil Quality Test","Charlestown Park",301.27
Canberra,"Soil Quality Test","Glenrock State Conservation Area",301.18
Canberra,"Air Quality Check","Jesmond Park",301.17
Brisbane,"Noise Level Measurement","Braye Park",301.05
Melbourne,"Soil Quality Test","Watagan Mountains",300.9
"Gold Coast","Noise Level Measurement","Awaba State Forest",300.9
Canberra,"Soil Quality Test","Jesmond Park",300.83
Melbourne,"Air Quality Check","Nobbys Beach",300.77
Brisbane,"Noise Level Measurement","Awaba State Forest",300.76
Brisbane,"Water Quality Test","Speers Point Park",300.76
Perth,"Air Quality Check","Heaton State Forest",300.75
Melbourne,"Soil Quality Test","Newcastle Beach",300.66
Hobart,"Soil Quality Test","Warners Bay Foreshore",300.6
Darwin,"Noise Level Measurement","Speers Point Park",300.42
"Gold Coast","Noise Level Measurement","King Edward Park",300.4
Newcastle,"Air Quality Check","Warners Bay Foreshore",300.29
Sydney,"Soil Quality Test","Speers Point Park",300.28
Hobart,"Air Quality Check","Blackbutt Nature Reserve",300.26
Brisbane,"Air Quality Check","Merewether Beach",300.23
"Gold Coast","Soil Quality Test","Lambton Park",300.23
Sydney,"Noise Level Measurement","Redhead Beach",300.19
Darwin,"Water Quality Test","Merewether Beach",300.14
"Gold Coast","Air Quality Check","Awaba State Forest",300.12
Hobart,"Water Quality Test","Nobbys Beach",300.09
Perth,"Soil Quality Test","Heaton State Forest",300.05
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",300.05
Adelaide,"Air Quality Check","Toronto Foreshore",300.04
"Gold Coast","Air Quality Check","Croudace Bay Park",299.94
Newcastle,"Air Quality Check","Speers Point Park",299.91
Darwin,"Noise Level Measurement","Toronto Foreshore",299.91
Melbourne,"Water Quality Test","Richley Reserve",299.87
Melbourne,"Noise Level Measurement","Merewether Beach",299.85
"Gold Coast","Air Quality Check","Speers Point Park",299.68
Hobart,"Air Quality Check","Nobbys Beach",299.64
Sydney,"Soil Quality Test","Speers Point Park",299.63
Sydney,"Noise Level Measurement","King Edward Park",299.62
Sydney,"Noise Level Measurement","Merewether Beach",299.6
Sydney,"Water Quality Test","Lambton Park",299.45
Canberra,"Soil Quality Test","Jesmond Park",299.43
Brisbane,"Noise Level Measurement","Speers Point Park",299.38
Melbourne,"Air Quality Check","Waratah Park",299.35
Hobart,"Air Quality Check","Blackbutt Nature Reserve",299.35
Canberra,"Soil Quality Test","Waratah Park",299.33
Darwin,"Air Quality Check","Toronto Foreshore",299.31
Darwin,"Soil Quality Test","Speers Point Park",299.31
Canberra,"Water Quality Test","Charlestown Park",299.3
Darwin,"Air Quality Check","Speers Point Park",299.3
Melbourne,"Soil Quality Test","Newcastle Beach",299.3
Melbourne,"Water Quality Test","Nobbys Beach",299.29
Melbourne,"Water Quality Test","Watagan Mountains",299.24
Darwin,"Noise Level Measurement","Hunter Wetlands Centre",299.12
Canberra,"Soil Quality Test","Newcastle Beach",299.02
Perth,"Air Quality Check","Charlestown Park",298.91
Newcastle,"Soil Quality Test","Warners Bay Foreshore",298.84
Brisbane,"Air Quality Check","Braye Park",298.62
Sydney,"Noise Level Measurement","Mount Sugarloaf",298.59
Darwin,"Air Quality Check","Toronto Foreshore",298.54
Melbourne,"Water Quality Test","Watagan Mountains",298.53
Brisbane,"Noise Level Measurement","Awaba State Forest",298.51
"Gold Coast","Water Quality Test","Belmont Wetlands State Park",298.5
"Gold Coast","Air Quality Check","Speers Point Park",298.49
"Gold Coast","Water Quality Test","Braye Park",298.42
Brisbane,"Air Quality Check","Awaba State Forest",298.39
Brisbane,"Air Quality Check","Lambton Park",298.38
Hobart,"Soil Quality Test","Richley Reserve",298.21
Perth,"Noise Level Measurement","Newcastle Beach",298.2
Newcastle,"Soil Quality Test","Newcastle Beach",298.18
Canberra,"Noise Level Measurement","Jesmond Park",298.16
Perth,"Air Quality Check","Newcastle Beach",298.12
Canberra,"Air Quality Check","Charlestown Park",298.08
Adelaide,"Soil Quality Test","Redhead Beach",298.05
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",298.03
Perth,"Noise Level Measurement","Waratah Park",298.02
Adelaide,"Air Quality Check","Mount Sugarloaf",298
Canberra,"Noise Level Measurement","Richley Reserve",297.99
Hobart,"Air Quality Check","Richley Reserve",297.93
Sydney,"Noise Level Measurement","Belmont Wetlands State Park",297.89
Hobart,"Water Quality Test","Watagan Mountains",297.86
Newcastle,"Water Quality Test","Richley Reserve",297.83
Hobart,"Soil Quality Test","Hunter Wetlands Centre",297.82
Darwin,"Soil Quality Test","Awaba State Forest",297.81
Adelaide,"Noise Level Measurement","Mount Sugarloaf",297.79
Sydney,"Air Quality Check","Awaba State Forest",297.79
Perth,"Water Quality Test","Nobbys Beach",297.78
Darwin,"Soil Quality Test","Speers Point Park",297.75
Adelaide,"Air Quality Check","Lambton Park",297.71
Hobart,"Air Quality Check","Glenrock State Conservation Area",297.71
Newcastle,"Air Quality Check","Charlestown Park",297.59
Newcastle,"Air Quality Check","Blackbutt Nature Reserve",297.57
Newcastle,"Air Quality Check","Awaba State Forest",297.51
Perth,"Water Quality Test","Richley Reserve",297.51
Darwin,"Soil Quality Test","Braye Park",297.49
"Gold Coast","Noise Level Measurement","Redhead Beach",297.33
Hobart,"Soil Quality Test","Warners Bay Foreshore",297.27
Darwin,"Water Quality Test","Merewether Beach",297.25
Darwin,"Water Quality Test","Awaba State Forest",297.21
Brisbane,"Air Quality Check","King Edward Park",297.08
Canberra,"Noise Level Measurement","Richley Reserve",297.06
Adelaide,"Soil Quality Test","Braye Park",296.99
Perth,"Soil Quality Test","Charlestown Park",296.93
Newcastle,"Air Quality Check","Charlestown Park",296.93
Canberra,"Water Quality Test","Watagan Mountains",296.89
Darwin,"Water Quality Test","Hunter Wetlands Centre",296.88
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",296.82
Newcastle,"Air Quality Check","Jesmond Park",296.79
Perth,"Soil Quality Test","Newcastle Beach",296.79
Brisbane,"Noise Level Measurement","Lambton Park",296.78
Canberra,"Noise Level Measurement","Warners Bay Foreshore",296.69
Melbourne,"Water Quality Test","Croudace Bay Park",296.69
Canberra,"Water Quality Test","Croudace Bay Park",296.53
Sydney,"Noise Level Measurement","King Edward Park",296.48
Darwin,"Water Quality Test","Mount Sugarloaf",296.46
Canberra,"Noise Level Measurement","Jesmond Park",296.46
Canberra,"Soil Quality Test","Newcastle Beach",296.43
Newcastle,"Soil Quality Test","Heaton State Forest",296.39
"Gold Coast","Soil Quality Test","Merewether Beach",296.29
Melbourne,"Noise Level Measurement","Newcastle Beach",296.22
Darwin,"Noise Level Measurement","Merewether Beach",296.21
Adelaide,"Soil Quality Test","Hunter Wetlands Centre",296.17
Darwin,"Noise Level Measurement","Awaba State Forest",296.1
Brisbane,"Air Quality Check","King Edward Park",296.07
Brisbane,"Soil Quality Test","King Edward Park",296.05
Canberra,"Water Quality Test","Newcastle Beach",296.04
Brisbane,"Soil Quality Test","Hunter Wetlands Centre",296.04
Melbourne,"Noise Level Measurement","Croudace Bay Park",296.03
Canberra,"Soil Quality Test","Heaton State Forest",296.02
Perth,"Soil Quality Test","Croudace Bay Park",295.93
Newcastle,"Water Quality Test","Jesmond Park",295.93
Perth,"Noise Level Measurement","Croudace Bay Park",295.87
Perth,"Noise Level Measurement","Warners Bay Foreshore",295.78
Melbourne,"Soil Quality Test","Richley Reserve",295.71
Darwin,"Noise Level Measurement","Awaba State Forest",295.68
Perth,"Water Quality Test","Croudace Bay Park",295.65
Newcastle,"Air Quality Check","Richley Reserve",295.52
Newcastle,"Water Quality Test","Charlestown Park",295.46
Hobart,"Air Quality Check","Richley Reserve",295.39
Newcastle,"Water Quality Test","Richley Reserve",295.39
Sydney,"Noise Level Measurement","Mount Sugarloaf",295.38
Canberra,"Air Quality Check","Watagan Mountains",295.29
Sydney,"Soil Quality Test","Redhead Beach",295.26
Darwin,"Air Quality Check","Glenrock State Conservation Area",295.24
Adelaide,"Noise Level Measurement","Redhead Beach",295.24
Hobart,"Noise Level Measurement","Watagan Mountains",295.22
Hobart,"Water Quality Test","Charlestown Park",295.2
Sydney,"Air Quality Check","Braye Park",295.17
Hobart,"Water Quality Test","Waratah Park",295.12
Perth,"Water Quality Test","Glenrock State Conservation Area",295.12
Brisbane,"Soil Quality Test","Merewether Beach",295.11
"Gold Coast","Soil Quality Test","Redhead Beach",295.1
Melbourne,"Noise Level Measurement","Richley Reserve",295.1
Perth,"Noise Level Measurement","Nobbys Beach",295.08
Brisbane,"Air Quality Check","Lambton Park",295.08
Sydney,"Noise Level Measurement","Lambton Park",295.06
Adelaide,"Noise Level Measurement","King Edward Park",295.06
Perth,"Soil Quality Test","Newcastle Beach",295.01
Darwin,"Air Quality Check","Toronto Foreshore",294.98
Darwin,"Noise Level Measurement","King Edward Park",294.93
Brisbane,"Soil Quality Test","Mount Sugarloaf",294.93
Perth,"Water Quality Test","Croudace Bay Park",294.84
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",294.82
Canberra,"Soil Quality Test","Charlestown Park",294.81
Perth,"Noise Level Measurement","Richley Reserve",294.78
Canberra,"Water Quality Test","Newcastle Beach",294.77
Canberra,"Air Quality Check","Newcastle Beach",294.74
Darwin,"Air Quality Check","Awaba State Forest",294.72
Adelaide,"Noise Level Measurement","King Edward Park",294.71
Sydney,"Noise Level Measurement","Redhead Beach",294.69
Canberra,"Soil Quality Test","Croudace Bay Park",294.68
Hobart,"Water Quality Test","Heaton State Forest",294.67
Canberra,"Air Quality Check","Waratah Park",294.58
Melbourne,"Air Quality Check","Glenrock State Conservation Area",294.55
Adelaide,"Air Quality Check","Lambton Park",294.48
Newcastle,"Noise Level Measurement","Jesmond Park",294.38
Adelaide,"Air Quality Check","Mount Sugarloaf",294.33
"Gold Coast","Water Quality Test","Hunter Wetlands Centre",294.31
Hobart,"Noise Level Measurement","Newcastle Beach",294.29
"Gold Coast","Soil Quality Test","King Edward Park",294.27
Sydney,"Noise Level Measurement","Merewether Beach",294.26
Canberra,"Noise Level Measurement","Jesmond Park",294.16
Perth,"Soil Quality Test","Warners Bay Foreshore",294.14
Canberra,"Soil Quality Test","Blackbutt Nature Reserve",294.14
Sydney,"Noise Level Measurement","Merewether Beach",294.13
Melbourne,"Noise Level Measurement","Croudace Bay Park",294.12
Newcastle,"Air Quality Check","Redhead Beach",293.94
Perth,"Noise Level Measurement","Heaton State Forest",293.85
Hobart,"Air Quality Check","Nobbys Beach",293.85
Adelaide,"Soil Quality Test","Croudace Bay Park",293.84
Melbourne,"Water Quality Test","Blackbutt Nature Reserve",293.8
Newcastle,"Water Quality Test","Charlestown Park",293.79
Melbourne,"Water Quality Test","Nobbys Beach",293.74
Hobart,"Air Quality Check","Newcastle Beach",293.7
Adelaide,"Water Quality Test","Merewether Beach",293.67
"Gold Coast","Noise Level Measurement","Toronto Foreshore",293.66
Sydney,"Soil Quality Test","Hunter Wetlands Centre",293.65
Sydney,"Noise Level Measurement","Toronto Foreshore",293.61
Melbourne,"Noise Level Measurement","Richley Reserve",293.58
Canberra,"Noise Level Measurement","Newcastle Beach",293.58
Perth,"Noise Level Measurement","Newcastle Beach",293.5
Brisbane,"Noise Level Measurement","Awaba State Forest",293.32
Hobart,"Air Quality Check","Newcastle Beach",293.29
Perth,"Noise Level Measurement","Nobbys Beach",293.29
Darwin,"Air Quality Check","Mount Sugarloaf",293.28
Darwin,"Soil Quality Test","Awaba State Forest",293.27
Hobart,"Soil Quality Test","Newcastle Beach",293.23
Perth,"Air Quality Check","Nobbys Beach",293.23
Sydney,"Noise Level Measurement","Glenrock State Conservation Area",293.17
Perth,"Noise Level Measurement","Toronto Foreshore",293.15
Hobart,"Soil Quality Test","Heaton State Forest",293.11
Adelaide,"Air Quality Check","King Edward Park",293.04
Brisbane,"Air Quality Check","Redhead Beach",292.96
Melbourne,"Air Quality Check","Warners Bay Foreshore",292.82
Hobart,"Soil Quality Test","Croudace Bay Park",292.8
Adelaide,"Noise Level Measurement","Belmont Wetlands State Park",292.73
Sydney,"Noise Level Measurement","Speers Point Park",292.72
Hobart,"Air Quality Check","Heaton State Forest",292.69
Newcastle,"Soil Quality Test","Richley Reserve",292.65
"Gold Coast","Noise Level Measurement","King Edward Park",292.63
Adelaide,"Air Quality Check","Hunter Wetlands Centre",292.63
Canberra,"Water Quality Test","Newcastle Beach",292.61
Melbourne,"Water Quality Test","Braye Park",292.59
Adelaide,"Soil Quality Test","Lambton Park",292.57
Melbourne,"Soil Quality Test","Warners Bay Foreshore",292.57
Canberra,"Soil Quality Test","Watagan Mountains",292.52
Hobart,"Water Quality Test","Warners Bay Foreshore",292.5
Melbourne,"Noise Level Measurement","Nobbys Beach",292.43
Darwin,"Water Quality Test","Mount Sugarloaf",292.36
Darwin,"Soil Quality Test","Hunter Wetlands Centre",292.34
Darwin,"Noise Level Measurement","Belmont Wetlands State Park",292.34
Darwin,"Water Quality Test","King Edward Park",292.33
Darwin,"Air Quality Check","Merewether Beach",292.32
Darwin,"Soil Quality Test","Toronto Foreshore",292.32
Melbourne,"Air Quality Check","Blackbutt Nature Reserve",292.3
Newcastle,"Water Quality Test","Jesmond Park",292.28
Melbourne,"Water Quality Test","Jesmond Park",292.19
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",292.14
Perth,"Noise Level Measurement","Croudace Bay Park",292.04
Darwin,"Noise Level Measurement","Heaton State Forest",292.02
Perth,"Air Quality Check","Jesmond Park",291.96
Sydney,"Water Quality Test","Mount Sugarloaf",291.9
"Gold Coast","Water Quality Test","Hunter Wetlands Centre",291.87
"Gold Coast","Noise Level Measurement","Hunter Wetlands Centre",291.81
Brisbane,"Noise Level Measurement","Braye Park",291.81
Adelaide,"Noise Level Measurement","Merewether Beach",291.77
"Gold Coast","Soil Quality Test","Braye Park",291.77
Canberra,"Air Quality Check","Nobbys Beach",291.76
Newcastle,"Water Quality Test","Croudace Bay Park",291.71
Canberra,"Water Quality Test","Heaton State Forest",291.7
Adelaide,"Air Quality Check","King Edward Park",291.6
"Gold Coast","Noise Level Measurement","King Edward Park",291.57
"Gold Coast","Soil Quality Test","Merewether Beach",291.49
Perth,"Noise Level Measurement","Blackbutt Nature Reserve",291.46
Sydney,"Air Quality Check","Toronto Foreshore",291.45
"Gold Coast","Air Quality Check","Mount Sugarloaf",291.43
Adelaide,"Soil Quality Test","King Edward Park",291.43
Canberra,"Noise Level Measurement","Jesmond Park",291.43
Canberra,"Water Quality Test","Heaton State Forest",291.39
Hobart,"Noise Level Measurement","Watagan Mountains",291.29
Melbourne,"Noise Level Measurement","Blackbutt Nature Reserve",291.23
Brisbane,"Soil Quality Test","Belmont Wetlands State Park",291.21
Perth,"Air Quality Check","Newcastle Beach",291.13
Perth,"Soil Quality Test","Blackbutt Nature Reserve",291.02
Newcastle,"Soil Quality Test","Glenrock State Conservation Area",291.01
Brisbane,"Air Quality Check","Speers Point Park",290.99
Hobart,"Soil Quality Test","Croudace Bay Park",290.95
Brisbane,"Air Quality Check","Mount Sugarloaf",290.92
Canberra,"Water Quality Test","Heaton State Forest",290.91
Melbourne,"Air Quality Check","Awaba State Forest",290.86
Newcastle,"Soil Quality Test","Croudace Bay Park",290.81
Brisbane,"Soil Quality Test","Nobbys Beach",290.78
Melbourne,"Soil Quality Test","Warners Bay Foreshore",290.71
"Gold Coast","Soil Quality Test","Speers Point Park",290.7
Darwin,"Noise Level Measurement","Lambton Park",290.7
Melbourne,"Water Quality Test","Richley Reserve",290.67
"Gold Coast","Water Quality Test","Speers Point Park",290.55
Sydney,"Soil Quality Test","King Edward Park",290.45
Canberra,"Water Quality Test","Jesmond Park",290.42
"Gold Coast","Air Quality Check","Speers Point Park",290.29
Brisbane,"Water Quality Test","Toronto Foreshore",290.25
"Gold Coast","Water Quality Test","Braye Park",290.18
Darwin,"Air Quality Check","Braye Park",290.13
Hobart,"Noise Level Measurement","Watagan Mountains",290.13
Hobart,"Water Quality Test","Warners Bay Foreshore",290.12
Melbourne,"Noise Level Measurement","Newcastle Beach",290.07
Brisbane,"Noise Level Measurement","Braye Park",290.06
Darwin,"Water Quality Test","Belmont Wetlands State Park",290.02
Melbourne,"Air Quality Check","Blackbutt Nature Reserve",289.99
Perth,"Air Quality Check","Warners Bay Foreshore",289.97
Newcastle,"Soil Quality Test","Charlestown Park",289.92
Newcastle,"Water Quality Test","Warners Bay Foreshore",289.74
Perth,"Noise Level Measurement","Croudace Bay Park",289.7
Canberra,"Noise Level Measurement","Nobbys Beach",289.62
"Gold Coast","Water Quality Test","Merewether Beach",289.59
Perth,"Air Quality Check","Jesmond Park",289.55
Perth,"Air Quality Check","Jesmond Park",289.54
Newcastle,"Water Quality Test","Glenrock State Conservation Area",289.51
Canberra,"Noise Level Measurement","Waratah Park",289.47
Darwin,"Air Quality Check","Mount Sugarloaf",289.45
Melbourne,"Noise Level Measurement","Speers Point Park",289.43
Canberra,"Soil Quality Test","Waratah Park",289.41
"Gold Coast","Water Quality Test","Belmont Wetlands State Park",289.37
Canberra,"Noise Level Measurement","Charlestown Park",289.33
Darwin,"Water Quality Test","Awaba State Forest",289.31
Newcastle,"Noise Level Measurement","Croudace Bay Park",289.24
Canberra,"Air Quality Check","Blackbutt Nature Reserve",289.23
Sydney,"Air Quality Check","Belmont Wetlands State Park",289.22
Brisbane,"Noise Level Measurement","Braye Park",289.22
Brisbane,"Soil Quality Test","Awaba State Forest",289.12
Darwin,"Soil Quality Test","Awaba State Forest",289.05
"Gold Coast","Soil Quality Test","King Edward Park",289.03
Sydney,"Soil Quality Test","Lambton Park",288.95
Brisbane,"Noise Level Measurement","Lambton Park",288.93
Melbourne,"Noise Level Measurement","Blackbutt Nature Reserve",288.92
Brisbane,"Noise Level Measurement","Awaba State Forest",288.91
Brisbane,"Water Quality Test","Lambton Park",288.88
Darwin,"Air Quality Check","Redhead Beach",288.85
Hobart,"Noise Level Measurement","Charlestown Park",288.84
Adelaide,"Noise Level Measurement","Merewether Beach",288.84
Perth,"Water Quality Test","Nobbys Beach",288.84
Darwin,"Water Quality Test","King Edward Park",288.81
"Gold Coast","Water Quality Test","Belmont Wetlands State Park",288.73
Sydney,"Water Quality Test","Mount Sugarloaf",288.65
Brisbane,"Noise Level Measurement","Hunter Wetlands Centre",288.65
Sydney,"Noise Level Measurement","Mount Sugarloaf",288.59
Hobart,"Noise Level Measurement","Speers Point Park",288.55
Perth,"Noise Level Measurement","Newcastle Beach",288.54
Hobart,"Air Quality Check","Croudace Bay Park",288.53
Adelaide,"Noise Level Measurement","Merewether Beach",288.53
Brisbane,"Water Quality Test","Awaba State Forest",288.52
Melbourne,"Air Quality Check","Richley Reserve",288.49
"Gold Coast","Soil Quality Test","Belmont Wetlands State Park",288.47
Melbourne,"Air Quality Check","Warners Bay Foreshore",288.4
Adelaide,"Air Quality Check","Mount Sugarloaf",288.35
Hobart,"Noise Level Measurement","Charlestown Park",288.31
Perth,"Water Quality Test","Warners Bay Foreshore",288.3
Darwin,"Air Quality Check","Watagan Mountains",288.3
Newcastle,"Water Quality Test","Nobbys Beach",288.27
Melbourne,"Soil Quality Test","Glenrock State Conservation Area",288.27
"Gold Coast","Soil Quality Test","Mount Sugarloaf",288.24
"Gold Coast","Soil Quality Test","Heaton State Forest",288.18
